UserID.S2,UserID.S1,DOC.S2,DOC.S1,DAYS,CSIPPA.2,CSIPBC.2,CSIPDE.2,CSIPFG.2,CSIPHI.2,CSIPJK.2,CSIPLM.2,CSIPNO.2,CSIPTOT.2,CSIPPA.ip.2,CSIPBC.ip.2,CSIPDE.ip.2,CSIPFG.ip.2,CSIPHI.ip.2,CSIPJK.ip.2,CSIPLM.ip.2,CSIPNO.ip.2,CSIPPA.1,CSIPBC.1,CSIPDE.1,CSIPFG.1,CSIPHI.1,CSIPJK.1,CSIPLM.1,CSIPNO.1,CSIPTOT.1,CSIPPA.ip.1,CSIPBC.ip.1,CSIPDE.ip.1,CSIPFG.ip.1,CSIPHI.ip.1,CSIPJK.ip.1,CSIPLM.ip.1,CSIPNO.ip.1
1724068927,1405317040,3/6/2020 8:26,6/26/2019 9:38,253.95,1,0,0,0,2,1,3,2,9,-0.044946657,-0.404519917,-0.404519917,-0.404519917,0.314626602,-0.044946657,0.674199862,0.314626602,0,0,4,4,6,4,10,2,30,-0.663560933,-0.663560933,0.044237396,0.044237396,0.39813656,0.044237396,1.105934888,-0.309661769
1819467940,1831797616,3/5/2020 11:49,6/26/2019 12:45,252.96,7,9,9,15,15,10,9,5,79,-0.446370591,-0.135851919,-0.135851919,0.795704097,0.795704097,0.019407417,-0.135851919,-0.756889263,7,8,13,18,24,18,13,7,108,-0.789693761,-0.668202413,-0.060745674,0.546711065,1.275659152,0.546711065,-0.060745674,-0.789693761
1912555729,851774931,3/4/2020 16:51,6/25/2019 23:11,252.74,2,5,14,20,9,9,9,0,68,-0.686113758,-0.36944587,0.580557795,1.213893572,0.052777981,0.052777981,0.052777981,-0.897225684,4,7,15,19,12,6,5,3,71,-0.558340586,-0.214746379,0.701504839,1.159630448,0.357910632,-0.329277781,-0.443809184,-0.672871988
1969468943,113429004,3/3/2020 18:31,6/26/2019 18:04,251.02,5,3,6,0,7,20,23,17,81,-0.516428502,-0.717961576,-0.415661965,-1.020261187,-0.314895428,0.995069552,1.297369163,0.692769942,1,1,0,0,7,12,17,11,49,-0.643221342,-0.643221342,-0.768727945,-0.768727945,0.109818278,0.737351294,1.36488431,0.611844691
1976609945,82853646,3/6/2020 22:07,6/30/2019 10:42,250.48,7,11,15,15,14,13,9,9,93,-0.578761196,-0.078210972,0.422339251,0.422339251,0.297201695,0.172064139,-0.328486084,-0.328486084,7,9,13,6,12,10,10,9,76,-0.328975847,-0.065795169,0.460566186,-0.460566186,0.328975847,0.065795169,0.065795169,-0.065795169
2029149676,1285193372,3/5/2020 9:35,6/26/2019 14:54,252.78,7,10,15,8,5,8,5,6,64,-0.196116135,0.39223227,1.372812946,0,-0.588348405,0,-0.588348405,-0.39223227,1,2,5,2,2,3,4,4,23,-0.433193237,-0.202156844,0.490952335,-0.202156844,-0.202156844,0.028879549,0.259915942,0.259915942
2043199778,1860254068,3/4/2020 11:20,6/25/2019 20:32,252.62,1,3,10,12,13,4,10,3,56,-0.794719414,-0.529812943,0.397359707,0.662266179,0.794719414,-0.397359707,0.397359707,-0.529812943,3,1,6,7,5,5,12,5,44,-0.430331483,-0.774596669,0.086066297,0.25819889,-0.086066297,-0.086066297,1.118861856,-0.086066297
2076838203,394077157,3/21/2020 16:25,6/27/2019 0:24,268.67,0,2,2,4,12,16,19,4,59,-0.831811371,-0.606235406,-0.606235406,-0.380659441,0.521644419,0.972796349,1.311160297,-0.380659441,2,3,11,5,14,19,19,1,74,-0.779806602,-0.672247071,0.18822918,-0.457128008,0.510907774,1.048705431,1.048705431,-0.887366134
2088062664,1520183,3/4/2020 14:51,7/18/2019 15:45,229.96,2,6,18,20,23,19,15,2,105,-1.181011353,-0.756378057,0.517521829,0.729838476,1.048313448,0.623680152,0.199046857,-1.181011353,3,4,14,17,21,21,17,0,97,-0.995711736,-0.886592641,0.204598302,0.531955585,0.968431962,0.968431962,0.531955585,-1.323069019
2136005954,2127926967,4/1/2020 14:29,7/30/2019 14:00,246.02,15,3,1,4,5,9,20,12,69,0.719023389,-0.634432402,-0.860008367,-0.521644419,-0.408856437,0.042295493,1.282963301,0.380659441,23,19,15,16,17,17,14,14,135,0.831703967,0.288550356,-0.254603255,-0.118814852,0.01697355,0.01697355,-0.390391658,-0.390391658
2137605309,2064946614,3/29/2020 20:12,7/4/2019 9:33,269.44,3,3,12,8,10,12,18,5,71,-0.691251221,-0.691251221,0.367686819,-0.102952309,0.132367255,0.367686819,1.073645513,-0.455931656,2,4,11,15,15,12,10,2,71,-0.857805746,-0.608262256,0.265139958,0.764226937,0.764226937,0.389911703,0.140368213,-0.857805746
